"lat","lon","period","origin","mean_survival"
-37.5973252171147,150.353880293969,"future","med",53.8
-37.5973252171147,150.353880293969,"future","red",16.025
-37.5973252171147,150.353880293969,"future","singapore",57.45
-37.2057468370897,150.353880293969,"future","med",53.8
-37.2057468370897,150.353880293969,"future","red",16.025
-37.2057468370897,150.353880293969,"future","singapore",57.45
-36.8141679814177,150.353880293969,"future","med",53.8
-36.8141679814177,150.353880293969,"future","red",16.025
-36.8141679814177,150.353880293969,"future","singapore",57.45
-36.4225886417357,150.353880293969,"future","med",53.8
-36.4225886417357,150.353880293969,"future","red",16.025
-36.4225886417357,150.353880293969,"future","singapore",57.45
-36.0310088094578,150.353880293969,"future","med",53
-36.0310088094578,150.353880293969,"future","red",16.25
-36.0310088094578,150.353880293969,"future","singapore",56.5
-35.6395982727582,150.803880293969,"future","med",57
-35.6395982727582,150.803880293969,"future","red",17.75
-35.6395982727582,150.803880293969,"future","singapore",62.75
-35.6394284757681,150.353880293969,"future","med",53
-35.6394284757681,150.353880293969,"future","red",16.25
-35.6394284757681,150.353880293969,"future","singapore",56.5
-35.2481827519042,151.253880293969,"future","med",61
-35.2481827519042,151.253880293969,"future","red",19.25
-35.2481827519042,151.253880293969,"future","singapore",69
-35.2480165286468,150.803880293969,"future","med",57
-35.2480165286468,150.803880293969,"future","red",18.625
-35.2480165286468,150.803880293969,"future","singapore",63.25
-34.8565995860451,151.253880293969,"future","med",61
-34.8565995860451,151.253880293969,"future","red",19.25
-34.8565995860451,151.253880293969,"future","singapore",69
-34.4650158742878,151.253880293969,"future","med",61
-34.4650158742878,151.253880293969,"future","red",19.25
-34.4650158742878,151.253880293969,"future","singapore",69
-34.0735924530209,151.703880293969,"future","med",61
-34.0735924530209,151.703880293969,"future","red",19.25
-34.0735924530209,151.703880293969,"future","singapore",69
-34.0734316064994,151.253880293969,"future","med",57.8
-34.0734316064994,151.253880293969,"future","red",17.525
-34.0734316064994,151.253880293969,"future","singapore",63.7
-34.0682236761563,27.0538802939694,"current","med",56
-34.0682236761563,27.0538802939694,"current","red",9
-34.0682236761563,27.0538802939694,"current","singapore",94.6666666666667
-34.0682236761563,27.0538802939694,"future","med",49
-34.0682236761563,27.0538802939694,"future","red",7
-34.0682236761563,27.0538802939694,"future","singapore",80.075
-33.6820067148952,151.703880293969,"future","med",58.2916666666667
-33.6820067148952,151.703880293969,"future","red",16.2916666666667
-33.6820067148952,151.703880293969,"future","singapore",74
-33.6766681082599,27.0538802939694,"current","med",43.3333333333333
-33.6766681082599,27.0538802939694,"current","red",5.66666666666667
-33.6766681082599,27.0538802939694,"current","singapore",73
-33.6766681082599,27.0538802939694,"future","med",50
-33.6766681082599,27.0538802939694,"future","red",7
-33.6766681082599,27.0538802939694,"future","singapore",81.4
-33.6764508678337,27.5038802939693,"current","med",45.6666666666667
-33.6764508678337,27.5038802939693,"current","red",6.33333333333333
-33.6764508678337,27.5038802939693,"current","singapore",75.875
-33.6764508678337,27.5038802939693,"future","med",49.5833333333333
-33.6764508678337,27.5038802939693,"future","red",6.875
-33.6764508678337,27.5038802939693,"future","singapore",80.5541666666667
-33.6762323031606,27.9538802939694,"current","med",53.3333333333333
-33.6762323031606,27.9538802939694,"current","red",8.33333333333333
-33.6762323031606,27.9538802939694,"current","singapore",89.3611111111111
-33.6762323031606,27.9538802939694,"future","med",55.09
-33.6762323031606,27.9538802939694,"future","red",7.79
-33.6762323031606,27.9538802939694,"future","singapore",89.42
-33.290576741585,152.153880293969,"future","med",58.2916666666667
-33.290576741585,152.153880293969,"future","red",16.2916666666667
-33.290576741585,152.153880293969,"future","singapore",74
-33.2904203910601,151.703880293969,"future","med",58.2916666666667
-33.2904203910601,151.703880293969,"future","red",16.2916666666667
-33.2904203910601,151.703880293969,"future","singapore",74
-33.2846789210242,27.9538802939694,"current","med",53.3333333333333
-33.2846789210242,27.9538802939694,"current","red",8.33333333333333
-33.2846789210242,27.9538802939694,"current","singapore",89.3611111111111
-33.2846789210242,27.9538802939694,"future","med",55.925
-33.2846789210242,27.9538802939694,"future","red",8.175
-33.2846789210242,27.9538802939694,"future","singapore",92.4666666666667
-33.284460340141,28.4038802939694,"current","med",53.5
-33.284460340141,28.4038802939694,"current","red",8.16666666666667
-33.284460340141,28.4038802939694,"current","singapore",89.1388888888889
-33.284460340141,28.4038802939694,"future","med",55.09
-33.284460340141,28.4038802939694,"future","red",7.79
-33.284460340141,28.4038802939694,"future","singapore",89.42
-32.8991416576264,152.603880293969,"future","med",56.025
-32.8991416576264,152.603880293969,"future","red",15.0208333333333
-32.8991416576264,152.603880293969,"future","singapore",64.7166666666667
-32.898988915232,152.153880293969,"future","med",58.2916666666667
-32.898988915232,152.153880293969,"future","red",16.2916666666667
-32.898988915232,152.153880293969,"future","singapore",74
-32.8929079416758,28.4038802939694,"current","med",53.3333333333333
-32.8929079416758,28.4038802939694,"current","red",8.33333333333333
-32.8929079416758,28.4038802939694,"current","singapore",89.3611111111111
-32.8929079416758,28.4038802939694,"future","med",56.3625
-32.8929079416758,28.4038802939694,"future","red",7.9875
-32.8929079416758,28.4038802939694,"future","singapore",91.425
-32.8926894247326,28.8538802939693,"current","med",53.5
-32.8926894247326,28.8538802939693,"current","red",8.16666666666667
-32.8926894247326,28.8538802939693,"current","singapore",89.1388888888889
-32.8926894247326,28.8538802939693,"future","med",55.09
-32.8926894247326,28.8538802939693,"future","red",7.79
-32.8926894247326,28.8538802939693,"future","singapore",89.42
-32.5075523156874,152.603880293969,"future","med",56.7833333333333
-32.5075523156874,152.603880293969,"future","red",15.0555555555556
-32.5075523156874,152.603880293969,"future","singapore",67.1777777777778
-32.5011380359722,28.8538802939693,"current","med",53.3333333333333
-32.5011380359722,28.8538802939693,"current","red",8.33333333333333
-32.5011380359722,28.8538802939693,"current","singapore",89.3611111111111
-32.5011380359722,28.8538802939693,"future","med",55.52
-32.5011380359722,28.8538802939693,"future","red",7.92
-32.5011380359722,28.8538802939693,"future","singapore",89.4
-32.5009196629166,29.3038802939694,"current","med",52.9166666666667
-32.5009196629166,29.3038802939694,"current","red",8.16666666666667
-32.5009196629166,29.3038802939694,"current","singapore",86.7916666666667
-32.5009196629166,29.3038802939694,"future","med",55.09
-32.5009196629166,29.3038802939694,"future","red",7.67
-32.5009196629166,29.3038802939694,"future","singapore",87.78
-32.1161105647996,153.053880293969,"future","med",57.5083333333333
-32.1161105647996,153.053880293969,"future","red",15.3854166666667
-32.1161105647996,153.053880293969,"future","singapore",66.4229166666667
-32.1159623358636,152.603880293969,"future","med",56.2833333333333
-32.1159623358636,152.603880293969,"future","red",14.2055555555556
-32.1159623358636,152.603880293969,"future","singapore",65.7777777777778
-32.1093693103347,29.3038802939694,"current","med",54.5555555555556
-32.1093693103347,29.3038802939694,"current","red",8.55555555555556
-32.1093693103347,29.3038802939694,"current","singapore",89.4722222222222
-32.1093693103347,29.3038802939694,"future","med",55.52
-32.1093693103347,29.3038802939694,"future","red",7.92
-32.1093693103347,29.3038802939694,"future","singapore",89.4
-32.1091511608851,29.7538802939694,"current","med",52.9166666666667
-32.1091511608851,29.7538802939694,"current","red",8.16666666666667
-32.1091511608851,29.7538802939694,"current","singapore",86.7916666666667
-32.1091511608851,29.7538802939694,"future","med",54.8033333333333
-32.1091511608851,29.7538802939694,"future","red",7.48333333333333
-32.1091511608851,29.7538802939694,"future","singapore",86.4266666666667
-31.7245190348695,153.053880293969,"future","med",56.55
-31.7245190348695,153.053880293969,"future","red",14.1041666666667
-31.7245190348695,153.053880293969,"future","singapore",69.0166666666667
-31.7176018714107,29.7538802939694,"current","med",52.9166666666667
-31.7176018714107,29.7538802939694,"current","red",8.16666666666667
-31.7176018714107,29.7538802939694,"current","singapore",86.7916666666667
-31.7176018714107,29.7538802939694,"future","med",53.915
-31.7176018714107,29.7538802939694,"future","red",6.97
-31.7176018714107,29.7538802939694,"future","singapore",88.28
-31.7173840250829,30.2038802939694,"current","med",54.9166666666667
-31.7173840250829,30.2038802939694,"current","red",8.66666666666667
-31.7173840250829,30.2038802939694,"current","singapore",90.7708333333333
-31.7173840250829,30.2038802939694,"future","med",53.4583333333333
-31.7173840250829,30.2038802939694,"future","red",6.58333333333333
-31.7173840250829,30.2038802939694,"future","singapore",86.1966666666667
-31.3329268326744,153.053880293969,"future","med",56.55
-31.3329268326744,153.053880293969,"future","red",14.1041666666667
-31.3329268326744,153.053880293969,"future","singapore",69.0166666666667
